,date,tend,MAdif
2018-01-19 00:56:00+00:00,2018-01-19T00:56:00.000Z,short,13.184585018617788
2018-01-19 15:56:00+00:00,2018-01-19T15:56:00.000Z,short,8.401254522966706
2018-01-20 06:56:00+00:00,2018-01-20T06:56:00.000Z,short,1.9447540267624186
2018-01-20 21:56:00+00:00,2018-01-20T21:56:00.000Z,long,-1.9845028521416896
2018-01-21 12:56:00+00:00,2018-01-21T12:56:00.000Z,long,-4.919179221929548
2018-01-22 03:56:00+00:00,2018-01-22T03:56:00.000Z,long,-4.652258758554306
2018-01-22 18:56:00+00:00,2018-01-22T18:56:00.000Z,long,-1.7264362196379723
2018-01-23 09:56:00+00:00,2018-01-23T09:56:00.000Z,short,2.955077024167918
2018-01-24 00:56:00+00:00,2018-01-24T00:56:00.000Z,short,4.417253308926372
2018-01-24 15:56:00+00:00,2018-01-24T15:56:00.000Z,short,4.29282296728819
2018-01-25 06:56:00+00:00,2018-01-25T06:56:00.000Z,short,2.8002235154717225
2018-01-26 12:56:00+00:00,2018-01-26T12:56:00.000Z,long,-2.0641678792010065
2018-01-27 03:56:00+00:00,2018-01-27T03:56:00.000Z,long,-3.5032675648082545
2018-01-27 18:56:00+00:00,2018-01-27T18:56:00.000Z,long,-4.312254518828529
2018-01-28 09:56:00+00:00,2018-01-28T09:56:00.000Z,long,-5.203121711335412
2018-01-29 00:56:00+00:00,2018-01-29T00:56:00.000Z,long,-5.969481940322274
2018-01-29 15:56:00+00:00,2018-01-29T15:56:00.000Z,long,-5.997718924019302
2018-01-30 06:56:00+00:00,2018-01-30T06:56:00.000Z,long,-5.037412639693639
2018-01-30 21:56:00+00:00,2018-01-30T21:56:00.000Z,long,-3.368666730822456
2018-02-01 03:56:00+00:00,2018-02-01T03:56:00.000Z,short,2.165139525558024
2018-02-01 18:56:00+00:00,2018-02-01T18:56:00.000Z,short,5.414804453804667
2018-02-02 09:56:00+00:00,2018-02-02T09:56:00.000Z,short,6.779406872584593
2018-02-03 00:56:00+00:00,2018-02-03T00:56:00.000Z,short,7.8531503160761185
2018-02-03 15:56:00+00:00,2018-02-03T15:56:00.000Z,short,8.66816976408822
2018-02-04 06:56:00+00:00,2018-02-04T06:56:00.000Z,short,9.869536075609364
2018-02-04 21:56:00+00:00,2018-02-04T21:56:00.000Z,short,8.820478499120444
2018-02-05 12:56:00+00:00,2018-02-05T12:56:00.000Z,short,10.737470835597552
2018-02-06 03:56:00+00:00,2018-02-06T03:56:00.000Z,short,12.039212621661665
2018-02-06 18:56:00+00:00,2018-02-06T18:56:00.000Z,short,12.269370034075678
2018-02-07 09:56:00+00:00,2018-02-07T09:56:00.000Z,short,10.24317734041552
2018-02-08 00:56:00+00:00,2018-02-08T00:56:00.000Z,short,8.669535107400005
2018-02-08 15:56:00+00:00,2018-02-08T15:56:00.000Z,short,2.7415335331895885
2018-02-09 06:56:00+00:00,2018-02-09T06:56:00.000Z,long,-1.9876332830604637
2018-02-09 21:56:00+00:00,2018-02-09T21:56:00.000Z,long,-4.765207326409593
2018-02-10 12:56:00+00:00,2018-02-10T12:56:00.000Z,long,-5.499299297670168
2018-02-11 03:56:00+00:00,2018-02-11T03:56:00.000Z,long,-5.554556728060223
2018-02-11 18:56:00+00:00,2018-02-11T18:56:00.000Z,long,-3.868656558940775
2018-02-12 09:56:00+00:00,2018-02-12T09:56:00.000Z,long,-2.144238198851234
2018-02-13 00:56:00+00:00,2018-02-13T00:56:00.000Z,long,-1.010331581738022
2018-02-13 15:56:00+00:00,2018-02-13T15:56:00.000Z,long,-1.467141031084207
2018-02-14 06:56:00+00:00,2018-02-14T06:56:00.000Z,long,-1.9871803482675254
2018-02-14 21:56:00+00:00,2018-02-14T21:56:00.000Z,long,-1.8812647415906714
2018-02-15 12:56:00+00:00,2018-02-15T12:56:00.000Z,long,-2.606703703538704
2018-02-16 03:56:00+00:00,2018-02-16T03:56:00.000Z,long,-4.074607454070556
2018-02-16 18:56:00+00:00,2018-02-16T18:56:00.000Z,long,-4.412697287279288
2018-02-17 09:56:00+00:00,2018-02-17T09:56:00.000Z,long,-4.224364175608297
2018-02-18 00:56:00+00:00,2018-02-18T00:56:00.000Z,long,-3.667273488121503
2018-02-18 15:56:00+00:00,2018-02-18T15:56:00.000Z,long,-2.852171533095227
2018-02-19 06:56:00+00:00,2018-02-19T06:56:00.000Z,long,-1.7745461912032523
2018-02-20 12:56:00+00:00,2018-02-20T12:56:00.000Z,short,1.1009244715708966
2018-02-21 03:56:00+00:00,2018-02-21T03:56:00.000Z,short,2.2693758156415056
2018-02-21 18:56:00+00:00,2018-02-21T18:56:00.000Z,short,3.2446049580425407
